Time,Speed,TargetSpeed,VirtualTargetSpeed,StepIndex,Torque,Slope,State
13.05,14.3648,15,15.3126,5,42.0369,5,0
13.1,14.3518,15,15.3126,5,42.6528,5,0
13.15,14.3395,15,15.3126,5,43.2369,5,0
13.2,14.3278,15,15.3126,5,43.7911,5,0
13.25,14.3167,15,15.3126,5,44.3167,5,0
13.3,14.3062,15,15.3126,5,44.8153,5,0
13.35,14.2963,15,15.3126,5,45.2882,5,0
13.4,14.2868,15,15.3126,5,45.7369,5,0
13.45,14.2778,15,15.3126,5,46.1624,5,0
13.5,14.2693,15,15.3126,5,46.5661,5,0
13.55,14.2613,15,15.3126,5,46.949,5,0
13.6,14.2536,15,15.3126,5,47.3122,5,0
13.65,14.2463,15,15.3126,5,47.6568,5,0
13.7,14.2395,15,15.3126,5,47.9836,5,0
13.75,14.2329,15,15.3126,5,48.2936,5,0
13.8,14.2267,15,15.3126,5,48.5876,5,0
13.85,14.2208,15,15.3126,5,48.8666,5,0
13.9,14.2153,15,15.3126,5,49.1312,5,0
13.95,14.21,15,15.3126,5,49.3822,5,0
14,14.2049,15,15.3126,5,49.6203,5,0
14.05,14.2002,15,15.3126,5,49.8461,5,0
14.1,14.1957,15,15.3126,5,50.0604,5,0
14.15,14.1914,15,15.3126,5,50.2636,5,0
14.2,14.1873,15,15.3126,5,50.4564,5,0
14.25,14.1835,15,15.3126,5,50.6392,5,0
14.3,14.1798,15,15.3126,5,50.8127,5,0
14.35,14.1763,15,15.3126,5,50.9772,5,0
14.4,14.1731,15,15.3126,5,51.1333,5,0
14.45,14.1699,15,15.3126,5,51.2813,5,0
14.5,14.167,15,15.3126,5,51.4218,5,0
14.55,14.1642,15,15.3126,5,51.555,5,0
14.6,14.1615,15,15.3126,5,51.6813,5,0
14.65,14.159,15,15.3126,5,51.8012,5,0
14.7,14.1566,15,15.3126,5,51.9149,5,0
14.75,14.1543,15,15.3126,5,52.0228,5,0
14.8,14.1521,15,15.3126,5,52.1251,5,0
14.85,14.1501,15,15.3126,5,52.2222,5,0
14.9,14.1482,15,15.3126,5,52.3142,5,0
14.95,14.1463,15,15.3126,5,52.4015,5,0
15,14.1446,15,15.3126,5,52.4844,5,0
15.05,14.1429,15,15.3126,5,52.563,5,0
15.1,14.1413,15,15.3126,5,52.6375,5,0
15.15,14.1399,15,15.3126,5,52.7082,5,0
15.2,14.1535,15,15.6137,6,66.3225,5,0
15.25,14.1664,15,15.6137,6,65.7088,5,0
15.3,14.1787,15,15.6137,6,65.1266,5,0
15.35,14.1903,15,15.6137,6,64.5744,5,0
15.4,14.2014,15,15.6137,6,64.0505,5,0
15.45,14.2119,15,15.6137,6,63.5536,5,0
15.5,14.2218,15,15.6137,6,63.0822,5,0
